port,tcp,udp
634,filtrado,abierto|filtrado
635,filtrado,abierto|filtrado
636,filtrado,abierto|filtrado
637,filtrado,abierto|filtrado
638,filtrado,abierto|filtrado
639,None,abierto|filtrado
640,filtrado,abierto|filtrado
641,filtrado,abierto|filtrado
642,filtrado,abierto|filtrado
643,filtrado,abierto|filtrado
644,filtrado,abierto|filtrado
645,filtrado,abierto|filtrado
646,filtrado,filtrado
647,filtrado,abierto|filtrado
648,filtrado,abierto|filtrado
649,filtrado,abierto|filtrado
650,filtrado,abierto|filtrado
651,filtrado,abierto|filtrado
652,filtrado,abierto|filtrado
653,filtrado,abierto|filtrado
654,None,abierto|filtrado
655,filtrado,abierto|filtrado
656,filtrado,abierto|filtrado
657,filtrado,abierto|filtrado
658,filtrado,abierto|filtrado
659,filtrado,abierto|filtrado
660,filtrado,abierto|filtrado
661,filtrado,abierto|filtrado
662,None,abierto|filtrado
663,filtrado,abierto|filtrado
664,filtrado,abierto|filtrado
665,filtrado,abierto|filtrado
666,filtrado,abierto|filtrado
667,filtrado,abierto|filtrado
668,filtrado,abierto|filtrado
669,filtrado,filtrado
670,filtrado,abierto|filtrado
671,filtrado,abierto|filtrado
672,filtrado,abierto|filtrado
673,filtrado,abierto|filtrado
674,filtrado,abierto|filtrado
675,filtrado,abierto|filtrado
676,filtrado,abierto|filtrado
677,filtrado,abierto|filtrado
678,filtrado,abierto|filtrado
679,filtrado,abierto|filtrado
680,filtrado,abierto|filtrado
681,filtrado,abierto|filtrado
682,filtrado,abierto|filtrado
683,filtrado,filtrado
684,filtrado,abierto|filtrado
685,filtrado,abierto|filtrado
686,filtrado,abierto|filtrado
687,filtrado,abierto|filtrado
688,filtrado,filtrado
689,filtrado,abierto|filtrado
690,filtrado,abierto|filtrado
691,filtrado,abierto|filtrado
692,filtrado,abierto|filtrado
693,filtrado,abierto|filtrado
694,filtrado,abierto|filtrado
695,filtrado,abierto|filtrado
696,filtrado,abierto|filtrado
697,filtrado,abierto|filtrado
698,filtrado,abierto|filtrado
699,None,abierto|filtrado
700,filtrado,abierto|filtrado
701,filtrado,abierto|filtrado
702,filtrado,abierto|filtrado
703,filtrado,abierto|filtrado
704,filtrado,abierto|filtrado
705,filtrado,abierto|filtrado
706,filtrado,abierto|filtrado
707,filtrado,abierto|filtrado
708,filtrado,abierto|filtrado
709,filtrado,abierto|filtrado
710,filtrado,abierto|filtrado
711,filtrado,abierto|filtrado
712,filtrado,abierto|filtrado
713,filtrado,abierto|filtrado
714,filtrado,abierto|filtrado
715,filtrado,abierto|filtrado
716,None,abierto|filtrado
717,filtrado,abierto|filtrado
718,filtrado,abierto|filtrado
719,filtrado,abierto|filtrado
720,filtrado,abierto|filtrado
721,filtrado,abierto|filtrado
722,filtrado,abierto|filtrado
723,filtrado,abierto|filtrado
724,filtrado,filtrado
725,filtrado,abierto|filtrado
726,filtrado,abierto|filtrado
727,filtrado,abierto|filtrado
728,filtrado,abierto|filtrado
729,filtrado,abierto|filtrado
730,filtrado,abierto|filtrado
731,filtrado,abierto|filtrado
732,filtrado,abierto|filtrado
733,filtrado,abierto|filtrado
734,filtrado,abierto|filtrado
735,filtrado,abierto|filtrado
736,filtrado,abierto|filtrado
737,filtrado,abierto|filtrado
738,filtrado,abierto|filtrado
739,filtrado,abierto|filtrado
740,None,abierto|filtrado
741,filtrado,abierto|filtrado
742,filtrado,abierto|filtrado
743,filtrado,abierto|filtrado
744,filtrado,abierto|filtrado
745,filtrado,abierto|filtrado
746,filtrado,abierto|filtrado
747,filtrado,abierto|filtrado
748,filtrado,abierto|filtrado
749,filtrado,abierto|filtrado
750,filtrado,abierto|filtrado
751,filtrado,abierto|filtrado
752,None,abierto|filtrado
753,None,abierto|filtrado
754,filtrado,abierto|filtrado
755,filtrado,abierto|filtrado
756,filtrado,abierto|filtrado
757,filtrado,abierto|filtrado
758,filtrado,abierto|filtrado
759,filtrado,abierto|filtrado
760,None,abierto|filtrado
761,filtrado,abierto|filtrado
762,None,abierto|filtrado
763,filtrado,abierto|filtrado
764,filtrado,abierto|filtrado
765,filtrado,abierto|filtrado
766,filtrado,abierto|filtrado
767,filtrado,abierto|filtrado
768,filtrado,abierto|filtrado
769,filtrado,abierto|filtrado
770,filtrado,abierto|filtrado
771,filtrado,abierto|filtrado
772,filtrado,abierto|filtrado
773,filtrado,abierto|filtrado
774,filtrado,abierto|filtrado
775,filtrado,abierto|filtrado
776,filtrado,abierto|filtrado
777,filtrado,abierto|filtrado
778,filtrado,abierto|filtrado
779,filtrado,abierto|filtrado
780,filtrado,abierto|filtrado
781,filtrado,abierto|filtrado
782,filtrado,abierto|filtrado
783,None,abierto|filtrado
784,filtrado,abierto|filtrado
785,filtrado,abierto|filtrado
786,None,abierto|filtrado
787,filtrado,abierto|filtrado
788,filtrado,abierto|filtrado
789,filtrado,abierto|filtrado
790,filtrado,abierto|filtrado
791,filtrado,abierto|filtrado
792,filtrado,abierto|filtrado
793,filtrado,abierto|filtrado
794,filtrado,abierto|filtrado
795,filtrado,abierto|filtrado
796,filtrado,abierto|filtrado
797,filtrado,abierto|filtrado
798,filtrado,abierto|filtrado
799,filtrado,abierto|filtrado
800,filtrado,abierto|filtrado
801,filtrado,abierto|filtrado
802,filtrado,abierto|filtrado
803,filtrado,abierto|filtrado
804,filtrado,abierto|filtrado
805,filtrado,abierto|filtrado
806,filtrado,abierto|filtrado
807,filtrado,abierto|filtrado
808,filtrado,abierto|filtrado
809,filtrado,abierto|filtrado
810,filtrado,abierto|filtrado
811,None,abierto|filtrado
812,filtrado,abierto|filtrado
813,filtrado,abierto|filtrado
814,filtrado,abierto|filtrado
815,filtrado,abierto|filtrado
816,filtrado,abierto|filtrado
817,filtrado,abierto|filtrado
